t,running,waiting
0.000,0.0,0.0
0.200,0.0,0.0
0.401,0.0,0.0
0.601,0.0,0.0
0.801,0.0,0.0
1.001,0.0,0.0
1.201,0.0,0.0
1.402,0.0,0.0
1.602,0.0,0.0
1.802,0.0,0.0
2.002,0.0,0.0
2.203,0.0,0.0
2.403,0.0,0.0
2.603,0.0,0.0
2.803,0.0,0.0
3.004,0.0,0.0
3.204,0.0,0.0
3.404,0.0,0.0
3.604,0.0,0.0
3.804,0.0,0.0
4.005,0.0,0.0
4.205,0.0,0.0
4.405,0.0,0.0
4.605,0.0,0.0
4.806,0.0,0.0
5.006,0.0,0.0
5.206,0.0,0.0
5.406,0.0,0.0
5.606,0.0,0.0
5.807,0.0,0.0
6.007,0.0,0.0
6.207,0.0,0.0
6.407,0.0,0.0
6.608,0.0,0.0
6.808,0.0,0.0
7.008,0.0,0.0
7.208,0.0,0.0
7.409,0.0,0.0
7.609,0.0,0.0
7.809,0.0,0.0
8.009,0.0,0.0
8.211,0.0,0.0
8.411,0.0,0.0
8.611,0.0,0.0
8.811,0.0,0.0
9.012,0.0,0.0
9.212,0.0,0.0
9.412,0.0,0.0
9.612,0.0,0.0
9.812,0.0,0.0
10.013,0.0,0.0
10.213,0.0,0.0
10.413,0.0,0.0
10.613,0.0,0.0
10.814,0.0,0.0
11.014,0.0,0.0
11.214,0.0,0.0
11.414,0.0,0.0
11.614,0.0,0.0
11.815,0.0,0.0
12.015,0.0,0.0
12.215,0.0,0.0
12.415,0.0,0.0
12.616,0.0,0.0
12.816,0.0,0.0
13.016,0.0,0.0
13.216,0.0,0.0
13.417,0.0,0.0
13.617,0.0,0.0
13.817,0.0,0.0
14.017,0.0,0.0
14.217,0.0,0.0
14.418,0.0,0.0
14.618,0.0,0.0
14.818,0.0,0.0
15.018,0.0,0.0
15.219,0.0,0.0
15.419,0.0,0.0
15.619,0.0,0.0
15.819,0.0,0.0
16.019,0.0,0.0
16.220,0.0,0.0
16.420,0.0,0.0
16.620,0.0,0.0
16.820,0.0,0.0
17.021,0.0,0.0
17.221,0.0,0.0
17.421,0.0,0.0
17.621,0.0,0.0
17.821,0.0,0.0
18.022,0.0,0.0
18.222,0.0,0.0
18.422,0.0,0.0
18.622,0.0,0.0
18.823,0.0,0.0
19.023,0.0,0.0
19.223,0.0,0.0
19.423,0.0,0.0
19.624,0.0,0.0
19.824,0.0,0.0
20.024,0.0,0.0
20.224,0.0,0.0
20.424,0.0,0.0
20.625,0.0,0.0
20.825,0.0,0.0
21.025,0.0,0.0
21.225,0.0,0.0
21.426,0.0,0.0
21.626,0.0,0.0
21.826,0.0,0.0
22.026,0.0,0.0
