t,running,waiting
0.000,0.0,0.0
0.200,0.0,0.0
0.401,0.0,0.0
0.601,0.0,0.0
0.801,0.0,0.0
1.001,0.0,0.0
1.202,0.0,0.0
1.402,0.0,0.0
1.602,0.0,0.0
1.802,0.0,0.0
2.003,0.0,0.0
2.203,0.0,0.0
2.403,0.0,0.0
2.603,0.0,0.0
2.804,0.0,0.0
3.004,0.0,0.0
3.204,0.0,0.0
3.405,0.0,0.0
3.605,0.0,0.0
3.805,0.0,0.0
4.005,0.0,0.0
4.206,0.0,0.0
4.406,0.0,0.0
4.606,0.0,0.0
4.806,0.0,0.0
5.007,0.0,0.0
5.207,0.0,0.0
5.407,0.0,0.0
5.608,0.0,0.0
5.808,0.0,0.0
6.008,0.0,0.0
6.208,0.0,0.0
6.409,0.0,0.0
6.609,0.0,0.0
6.809,0.0,0.0
7.009,0.0,0.0
7.210,0.0,0.0
7.410,0.0,0.0
7.610,0.0,0.0
7.811,0.0,0.0
8.011,0.0,0.0
8.211,0.0,0.0
8.411,0.0,0.0
8.611,0.0,0.0
8.812,0.0,0.0
9.013,0.0,0.0
9.213,0.0,0.0
9.414,0.0,0.0
9.614,0.0,0.0
9.814,0.0,0.0
10.014,0.0,0.0
10.214,0.0,0.0
10.415,0.0,0.0
10.615,0.0,0.0
10.815,0.0,0.0
11.015,0.0,0.0
11.216,0.0,0.0
11.416,0.0,0.0
11.616,0.0,0.0
11.816,0.0,0.0
12.016,0.0,0.0
12.217,0.0,0.0
12.417,0.0,0.0
12.617,0.0,0.0
12.817,0.0,0.0
13.018,0.0,0.0
13.218,0.0,0.0
13.418,0.0,0.0
13.618,0.0,0.0
13.819,0.0,0.0
14.019,0.0,0.0
14.219,0.0,0.0
14.419,0.0,0.0
14.620,0.0,0.0
14.820,0.0,0.0
15.020,0.0,0.0
15.220,0.0,0.0
15.420,0.0,0.0
15.621,0.0,0.0
15.821,0.0,0.0
16.021,0.0,0.0
16.221,0.0,0.0
16.422,0.0,0.0
16.622,0.0,0.0
16.822,0.0,0.0
17.022,0.0,0.0
17.222,0.0,0.0
17.423,0.0,0.0
17.623,0.0,0.0
17.823,0.0,0.0
18.023,0.0,0.0
18.224,0.0,0.0
18.424,0.0,0.0
18.624,0.0,0.0
18.824,0.0,0.0
19.025,0.0,0.0
19.225,0.0,0.0
19.425,0.0,0.0
19.625,0.0,0.0
19.826,0.0,0.0
20.026,0.0,0.0
20.226,0.0,0.0
20.426,0.0,0.0
20.627,0.0,0.0
20.827,0.0,0.0
21.027,0.0,0.0
21.227,0.0,0.0
21.427,0.0,0.0
21.628,0.0,0.0
21.828,0.0,0.0
22.028,0.0,0.0
